"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","EQUIPAMENT","ADRECA","TELEFON"
"M009","Medi ambient","Horts urbans","428590.952","4579243.454","428499.036","4579042.548","2.145165","41.359715","03","13","Sants-Montjuïc","la Marina de Port","Hort Urbà Masia Can Mestres","Camí Can Clos, 1*9","010"
"M009","Medi ambient","Horts urbans","432907.109","4589145.239","432815.157","4588944.24","2.195663","41.449268","09","60","Sant Andreu","Sant Andreu","Hort Urbà Parc de la Trinitat","Pg Santa Coloma, 60","010"
"M009","Medi ambient","Horts urbans","427454.616","4586506.529","427362.713","4586305.556","2.13071","41.425028","07","39","Horta-Guinardó","Sant Genís dels Agudells","Hort Urbà Masia Can Soler","Ctra Sant Cugat, 114*132","010"
"M009","Medi ambient","Horts urbans","428121.665","4582340.323","428029.755","4582139.388","2.139188","41.387565","04","19","Les Corts","les Corts","Associació Hort Urbà Espai Colònia Castells - Les Corts","C Montnegre, 30",""
"M009","Medi ambient","Horts urbans","425821.501","4583114.795","425729.612","4582913.854","2.111585","41.394331","04","21","Les Corts","Pedralbes","Hort Urbà de Pedralbes","C Castellet, 2","010"
"M009","Medi ambient","Horts urbans","433173.05","4589193.17","433081.095","4588992.17","2.198841","41.449722","09","57","Sant Andreu","la Trinitat Vella","Hort Urbà Baró de Viver","Pg Santa Coloma, 125","010"
"M009","Medi ambient","Horts urbans","431603.892","4583984.37","431511.95","4583783.419","2.180647","41.402677","02","06","Eixample","la Sagrada Família","Hort Urbà Sagrada Família","C Padilla, 199*201","010"
"M009","Medi ambient","Horts urbans","433089.246","4585983.306","432997.291","4585782.336","2.198194","41.420805","10","72","Sant Martí","Sant Martí de Provençals","Centre Experimental i Educatiu Agricultura Biològica i Jardineria - Masia de Can Cadena-Hort Urbà Masia Can Cadena","C Menorca, 27","010"
"M009","Medi ambient","Horts urbans","427371.748","4581254.418","427279.844","4581053.494","2.13035","41.377718","03","18","Sants-Montjuïc","Sants","Hort Urbà d'en Queni","C Rosés, 8",""
"M009","Medi ambient","Horts urbans","432274.631","4589561.58","432182.685","4589360.577","2.188045","41.452965","08","53","Nou Barris","la Trinitat Nova","La Casa de l'Aigua-Hort Urbà","C Garbí, 2*4","010"
"M009","Medi ambient","Horts urbans","430262.768","4587477.304","430170.839","4587276.321","2.164201","41.43402","08","47","Nou Barris","Can Peguera","Hort Urbà de Can Peguera","C Camós, 3","010"
"M009","Medi ambient","Horts urbans","430622.932","4581008.85","430530.998","4580807.927","2.169254","41.375793","01","01","Ciutat Vella","el Raval","Hort Urbà de Sant Pau del Camp","C Abat Safont, 12","010"
"M009","Medi ambient","Horts urbans","428869.777","4585211.83","428777.861","4585010.869","2.147797","41.413494","06","28","Gràcia","Vallcarca i els Penitents","Hort Urbà de Turull","Ptge Turull, 10*12","010"
"M009","Medi ambient","Horts urbans","424752.724","4585400.799","424660.846","4585199.837","2.098517","41.414821","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","Hort Urbà Can Pujades","Camí Múrgola, 13*19","010"
"M009","Medi ambient","Horts urbans","427758.269","4585540.655","427666.363","4585339.691","2.134459","41.416356","05","25","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","Hort Urbà Collserola","C Carles Pirozzini, 2","010"
"M009","Medi ambient","Horts urbans","428908.953","4585446.661","428817.036","4585245.697","2.148238","41.415613","06","28","Gràcia","Vallcarca i els Penitents","Hort Urbà de l'Avi","C Torrent del Remei, 2","010"
"M009","Medi ambient","Horts urbans","432643.055","4586584.03","432551.104","4586383.055","2.192788","41.426178","09","61","Sant Andreu","la Sagrera","Hort-Jardí Urbà La Ferroviària","C Camp del Ferro, 17",""
"M009","Medi ambient","Horts urbans","432527.005","4584971.561","432435.055","4584770.601","2.191579","41.411646","10","65","Sant Martí","el Clot","Hort Urbà de El Clot","C Bilbao, 241",""
"M009","Medi ambient","Horts urbans","425788.628","4581211.693","425696.739","4581010.769","2.111425","41.377188","04","16","Les Corts","la Bordeta","Hort Urbà Torre Melina","Camí Torre Melina, 15*LU","010"
